"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"238",5.67523345873327,39.0647517085269,1,0,0,0,834,0,0,1628
"239",4.33780198172785,30.7474488471888,1,0,0,0,1222,0,0,1713
"240",4.4999467311256,22.4847070592725,1,0,0,0,630,0,0,1161
"241",6.17583099968699,29.6745977406942,1,0,0,0,1456,0,0,1046
"242",6.18289083976052,38.2979531413422,1,0,0,0,399,0,0,1506
"243",4.44779303195636,16.0381599991591,1,0,0,0,3718,0,0,789
"244",4.06130894310699,25.7003249792546,1,0,0,0,682,0,0,1578
"245",4.46307600242531,28.2186670788303,1,0,0,0,781,0,0,1583
"246",4.18670082599907,26.2541884769641,1,0,0,0,388,0,0,1427
"247",5.64811876393079,36.96811366107,1,0,0,0,662,0,0,1583
"248",5.49463340179815,36.9517227180689,1,0,0,0,852,0,0,1633
"249",5.62530426110206,27.7583674905978,1,0,0,0,912,0,0,1119
"250",5.59858661321607,26.375362797512,1,0,0,0,1280,0,0,1022
"251",2.76241171912409,16.1274383598686,1,0,0,0,640,0,0,1376
"252",5.11550108619218,35.3758933152107,1,0,0,0,1055,0,0,1745
"253",4.69298393179032,33.4789211704665,1,0,0,0,1284,0,0,1816
"254",3.14669508983858,20.2789017086426,1,0,0,0,955,0,0,1605
"255",3.86712056946141,24.4545001682707,1,0,0,0,894,0,0,1585
"256",4.94260901888818,33.0570987658151,1,0,0,0,898,0,0,1646
"257",4.44264968426657,27.267254301196,1,0,0,0,768,0,0,1617
"258",4.00281055807723,29.4152192012858,1,0,0,0,1292,0,0,1822
"259",5.25480078093842,26.6909771527202,1,0,0,0,892,0,0,1144
"260",3.40443271413872,22.2177534730087,1,0,0,0,676,0,0,1509
"261",3.01858173147332,4.5058491366853,1,0,0,0,3796,0,0,778
"262",4.35493905092051,22.1411686708633,1,0,0,0,849,0,0,1170
"263",5.34619930079804,28.7387603885764,1,0,0,0,831,0,0,1184
"264",4.73102865624151,24.3495547541516,1,0,0,0,902,0,0,1148
"265",5.07603327157075,31.5641413187584,1,0,0,0,520,0,0,1500
"266",5.0179004535895,30.4182684081396,1,0,0,0,418,0,0,1494
